Stakeholder Name,Role,Stakeholder quote related to Shell,Translation,Sentiment
[Carla Joustra](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DD7-D461-JBN5-F2VT-00000-00&context=1519360),Presiding judge,"""Even though Shell bears a special responsibility as a large oil and gas company, that does not mean we can apply a general reduction goal of 45 per cent.""",N.A.,Neutral,
[Cecile Wake](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C97-TKF1-F0JP-W4D4-00000-00&context=1519360),Shell's country chair,"""The renewable energy agreements that minister (Chris) Bowen was speaking about between himself and the state energy ministers, let's broaden them so that we deliver successful projects across the length and breadth of our economy.""",N.A.,Positive,
[Cecile Wake](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CPS-9FF1-JD3N-50RS-00000-00&context=1519360),Shell Australia chairwoman,"""At its core, this project promotes stronger regional communities, and it also has wider benefits for Australian manufacturing and industry more broadly.""",N.A.,Positive,
[Charlie Kronick](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BXW-4WS1-JCMN-Y088-00000-00&context=1519360),Senior climate advisor at Greenpeace UK,"""On a day where climate leaders are negotiating in Abu Dhabi how to help the world's poorest meet the skyrocketing costs of climate loss and damage, Shell continues to bank billions from flogging the fuels that are driving the crisis.""",N.A.,Negative,
[Christopher Doleman](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F7P-7YN3-RSP8-F0C3-00000-00&context=1519360),Analyst at the Institute for Energy Economics and Financial Analysis,"""LNG prices would likely need to fall into the $US4-5 range to compete with coal, a level that is too low for LNG facilities to earn an adequate rate of return.""",N.A.,Negative,
[Daryl Killin](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D0B-2T41-DY19-C2FR-00000-00&context=1519360),Former senior roles at major carbon companies,"""The guys who are doing the emitting, are now getting profits from the solution? It couldn't be more perverse. They're profiting from the problem they created.""",N.A.,Negative,
[Derren Nathan](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BXW-4WS1-JCMN-Y088-00000-00&context=1519360),Head of equity research at Hargreaves Lansdown,"""Shell's produced yet another quarter of staggering cash flows.""",N.A.,Positive,
[Donald Pols](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DD7-D461-JBN5-F2VT-00000-00&context=1519360),Director of Friends of the Earth Netherlands,"""This hurts. At the same time, we see that this case has ensured that major polluters are not immune and has further stimulated the debate about their responsibility in combating dangerous climate change.""",N.A.,Negative,
[Donald Pols](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6DDT-D711-JD3N-50KF-00000-00&context=1519360),Director of Milieudefensie,"""Large polluters are powerful. But united, we as people have the power to change them.""",N.A.,Negative,
[Elena Polisano](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F13-8GV3-RT7Y-W343-00000-00&context=1519360),Head of Greenpeace UK's Stop Drilling campaign,"""Shell and its shareholders again raked in tens of billions from fuelling the climate crisis last year""",N.A.,Negative,
[Gary Wyatt](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6D0B-2T41-DY19-C2FR-00000-00&context=1519360),Managing director of Corporate Carbon,"""It's not a problem they [the fossil fuel industry] created. It's a problem that's been created by us choosing to live the lifestyle that we do, which has resulted in the consumption of a large amount of fossil fuels.""",N.A.,Neutral,
[Keith Pitt](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C50-G1B1-JD3N-54HT-00000-00&context=1519360),Former resources minister,"""The trailing liability provisions will be an action of last resort when all other safeguards have been exhausted and will reduce the risk that the financial costs of decommissioning will be left to Australian taxpayers.""",N.A.,Neutral,
[Kevan Gosper](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BDD-5MX1-F0J6-J020-00000-00&context=1519360),Shell Australia boss,"""he was impressed with Shell Australia boss and International Olympic Committee member Kevan Gosper.""",N.A.,Positive,
[Laszlo Varro](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6C2V-XRS1-JBJ7-N21T-00000-00&context=1519360),"Shell's international vice president for strategy, insights and scenarios","""Urbanisation is currently running at the speed of a London every quarter.""",N.A.,Neutral,
[Meg O'Neill](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F7P-7YN3-RSP8-F0C3-00000-00&context=1519360),Woodside chief executive,"""If just 20 per cent of Asia's coal-fired power stations switched to gas, it would reduce carbon emissions by 680 million tonnes a year.""",N.A.,Positive,
[Philippe Mathieu](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F2P-YKX3-RSSB-D1SB-00000-00&context=1519360),Executive Vice-President for Exploration and Production International at Equinor,"""If you don't have Rosebank oil for the UK, then you have to import it from somewhere else â€¦ how much CO2 is that going to cost?""",N.A.,Negative,
[Ric Charlton](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BDD-5MX1-F0J6-J020-00000-00&context=1519360),Shell's representative,"""Keating recalls travelling to Tokyo three times with Shell's Ric Charlton to talk to Japanese bankers and gas buyers.""",N.A.,Positive,
[Rick Wilkinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CR9-9511-JD34-V2YS-00000-00&context=1519360),Chief executive of consultancy EnergyQuest,"""This makes no change at all to the supply-demand balance and the requirement for new gas to come on for the east coast of Australia.""",N.A.,Negative,
[Rick Wilkinson](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CY8-G9R1-JD34-V01T-00000-00&context=1519360),CEO of EnergyQuest,"""The flare reported at the Shell site seems to indicate more gas is flowing than the vertical well tested recently by Elixir.""",N.A.,Positive,
[Saul Kavonic](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CY8-G9R1-JD34-V01T-00000-00&context=1519360),Energy analyst,"""If they can prove horizontal wells work in this tight coal seam gas play, it could open up several more tcf [trillion cubic feet] of gas for the east coast.""",N.A.,Positive,
[Sir Andrew Mackenzie](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CBM-RYP1-JD34-V002-00000-00&context=1519360),Shell chairman,"""The one thing that has struck me, since moving from BHP to Shell, is it is quite a lot harder than I expected.""",N.A.,Negative,
[Sultan Ahmed al-Jaber](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BNW-29J1-JBJ7-N18C-00000-00&context=1519360),"COP28 President, oil executive","""We are what we do, not what we say.""",N.A.,Negative,
[Tom Allen](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6F7P-7YN3-RSP8-F0C3-00000-00&context=1519360),UBS analyst,"""We expect a tight LNG market in 2025 with global balances estimated to be in deficit ... before moving into balance in 2026 and an accelerating surplus from 2027.""",N.A.,Neutral,
[Trevor Brown](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CY8-G9R1-JD34-V01T-00000-00&context=1519360),CEO of Omega,"""If we're successful here this could be the next big wave of development post the coal seam gas wave.""",N.A.,Positive,
[Wael Sawan](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6BNW-29J1-JBJ7-N18C-00000-00&context=1519360),Shell's CEO,"""there is too much uncertainty at the moment in the energy transition trajectory"".",N.A.,Negative,
[Zhengxin Peng](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CR9-9511-JD34-V2YS-00000-00&context=1519360),Chief executive of Arrow,"""At a time when more gas is needed for homes, businesses and industries, the SGP North development will solidify Arrow's position as a major producer of natural gas on the east coast.""",N.A.,Positive,
[Zo Yujnovich](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CPM-DS51-JCMN-Y16B-00000-00&context=1519360),Integrated Gas and Upstream Director at Shell,"""Embarking on Phase 2 of the Surat Gas Project with Arrow is part of our commitment to bring more gas to market.""",N.A.,Positive,
[Zoe Yujnovich](https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:6CR9-9511-JD34-V2YS-00000-00&context=1519360),Director of integrated gas and upstream for Shell,"""Embarking on Phase 2 of the Surat Gas Project with Arrow is part of our commitment to bring more gas to market.""",N.A.,Positive,
